Title,Artist,Nationality,Born Date,Death Date,Gender,Submission Date,Department,Actual Age,Submission Age
Union der Sozialistischen Sowjet-Republiken: Pressa Köln (Union of Socialist Soviet Republics),El Lissitzky,Russian,1890,1941,Male,1928,Prints & Illustrated Books,51,38
New York City,Lee Friedlander,American,1934,,Male,1978,Photography,-,44
Progressive IV for VENTRILOQUIST,Jasper Johns,American,1930,,Male,1986,Prints & Illustrated Books,-,56
Untitled,Eugène Atget,French,1857,1927,Male,1900,Photography,70,43
Plate (facing page 118) from SAINTE MONIQUE,Pierre Bonnard,French,1867,1947,Male,1925,Prints & Illustrated Books,80,58
Museum,Peter Blume,American,1906,1992,Male,1932,Drawings,86,26
Folio,Terry Winters,American,1949,,Male,1986,Prints & Illustrated Books,-,37
Duino,César Paternosto,Argentine,1931,,Male,1966,Painting & Sculpture,-,35
Unmade Bed,Joe Goode,American,1937,,Male,1968,Painting & Sculpture,-,31
#2 from an untitled series,Larry Bell,American,1939,,Male,1974,Prints & Illustrated Books,-,35
Untitled from Notes on a Room,Richard Artschwager,American,1923,2013,Male,1998,Prints & Illustrated Books,90,75
Untitled,Dan McCarthy,American,1962,,Male,2000,Drawings,-,38
Untitled,Wade Guyton,American,1972,,Male,2006,Painting & Sculpture,-,34
"French Embassy Staff Quarters, New Delhi, India",Raj Rewal,Indian,1934,,Male,1967,Architecture & Design,-,33
Plate (folio 9) from HIOB,Hella Fischer-Thorer,German,1928,1978,Female,1965,Prints & Illustrated Books,50,37
Z. I. Gorbovets. Graviury na dereve,Zinovii Gorbovets,,,,,1927,Prints & Illustrated Books,-,-
Lapeyrouse Wall,Peter Doig,British,1959,,Male,2004,Painting & Sculpture,-,45
The Language of Fashion (El lenguaje de la moda),Juan Luis Martinez,Chilean,1942,1993,Male,1979,Drawings,51,37
Adam,Amedeo Modigliani,Italian,1884,1920,Male,1916,Drawings,36,32
Untitled from Pisueña,Juan Uslé,Spanish,1954,,Male,2009,Prints & Illustrated Books,-,55
Roberta's Excorcism Flower Arrangements,Lynn Hershman Leeson,American,1941,,Female,1978,Photography,-,37
(Number 1 of a newspaper campaign),Karl Gerstner,Swiss,1930,,Male,1964,Architecture & Design,-,34
Untitled,Nathan Lyons,American,1930,2016,Male,1958,Photography,86,28
Femme de Verrières,Eugène Atget,French,1857,1927,Male,1900,Photography,70,43
Public Sculptures in Public Places,Bob Cato,Nationality unknown,1923,,Male,1967,Architecture & Design,-,44
Double page plate (pages 20 and 21) from TAGEBÜCHER,Antonio Saura,Spanish,1930,1998,Male,1988,Prints & Illustrated Books,68,58
Plate (page 215) from LES PETITES FLEURS,Émile Bernard,French,1868,1941,Male,1928,Prints & Illustrated Books,73,60
